Gender,GenderCode,Age,Height,Weight,HeartRate,ExerciseNameENG,ExerciseNameUKR,ExerciseID,Duration,Calories
male,0,68,190,94,105,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,29,231
female,1,20,166,60,94,"Stationary cycling, light","Стаціонарний велоспорт, легкий режим",24,14,66
male,0,69,179,79,88,Watering lawn or garden,Полив газону або саду,22,5,26
female,1,34,179,71,100,Unicycling,Їзда на одноколісному велосипеді,17,13,71
female,1,27,154,58,81,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,10,35
female,1,36,151,50,96,"Cycling, 16-19 mph, very fast, racing","Велоспорт, 25-30 км/год, дуже швидко",13,23,123
female,1,33,158,56,95,"Cycling, 14-15.9 mph, vigorous","Велоспорт, 22-25 км/год, швидко",12,22,112
male,0,41,175,85,100,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,25,143
male,0,60,186,94,97,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,21,134
female,1,26,146,51,90,"Stationary cycling, moderate","Стаціонарний велоспорт, помірний режим",25,16,72
female,1,36,177,76,74,Watering lawn or garden,Полив газону або саду,22,1,3
female,1,21,157,56,100,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,17,92
male,0,66,171,79,90,"Calisthenics, light","Кальстеніка, легка",18,11,58
female,1,32,157,54,93,"Cycling, 12-13.9 mph, moderate","Велоспорт, 19-22 км/год, помірно",11,18,88
male,0,53,182,85,82,Watering lawn or garden,Полив газону або саду,22,2,7
female,1,39,156,62,104,"Running, 8 mph (7.5 min mile)","Біг, 14 км/год",5,28,170
male,0,39,182,82,82,Watering lawn or garden,Полив газону або саду,22,4,11
male,0,46,169,67,89,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,11,43
female,1,27,171,65,85,Watering lawn or garden,Полив газону або саду,22,4,15
male,0,50,188,86,94,"Golf, walking and pulling clubs",Гольф,16,14,74
male,0,67,189,93,77,Watering lawn or garden,Полив газону або саду,22,8,29
female,1,31,148,50,84,"Stationary cycling, very light","Стаціонарний велоспорт, дуже легкий режим",23,8,32
female,1,33,157,60,80,Watering lawn or garden,Полив газону або саду,22,3,10
female,1,20,165,59,100,"Stationary cycling, very vigorous","Стаціонарний велоспорт, дуже швидкий режим",27,29,155
male,0,48,182,85,80,Watering lawn or garden,Полив газону або саду,22,1,3
male,0,29,176,75,83,Watering lawn or garden,Полив газону або саду,22,10,24
